entry_id,self_accession,parent_accession
366,JGAP00000000006,JGAC00000000001
367,JGAD00000000261,JGAP00000000001
367,JGAP00000000001,JGAC00000000001
367,JGAS00000000180,
368,JGAD00000000263,JGAP00000000001
368,JGAP00000000001,JGAC00000000001
368,JGAS00000000077,
369,JGAS00000000114,
370,JGAS00000000114,
371,JGAD00000000264,JGAP00000000001
371,JGAP00000000001,JGAC00000000001
371,JGAS00000000182,
372,JGAS00000000151,
373,JGAS00000000109,
374,JGAP00000000001,JGAC00000000001
375,JGAD00000000223,JGAP00000000008
375,JGAD00000000224,JGAP00000000008
375,JGAD00000000225,JGAP00000000008
375,JGAP00000000008,JGAC00000000001
375,JGAS00000000149,
376,JGAP00000000001,JGAC00000000001
377,JGAP00000000001,JGAC00000000001
378,JGAP00000000001,JGAC00000000001
379,JGAD00000000117,JGAP00000000001
379,JGAD00000000118,JGAP00000000001
379,JGAP00000000001,JGAC00000000001
379,JGAS00000000109,
380,JGAD00000000228,JGAP00000000001
380,JGAD00000000229,JGAP00000000001
380,JGAP00000000001,JGAC00000000001
380,JGAS00000000151,
381,JGAP00000000001,JGAC00000000001
382,JGAD00000000065,JGAP00000000001
382,JGAP00000000001,JGAC00000000001
382,JGAS00000000065,
383,JGAP00000000001,JGAC00000000001
384,JGAP00000000001,JGAC00000000001
385,JGAP00000000001,JGAC00000000001
385,JGAS00000000065,
386,JGAP00000000001,JGAC00000000001
387,JGAP00000000001,JGAC00000000001
387,JGAS00000000065,
388,JGAD00000000272,JGAP00000000001
388,JGAP00000000001,JGAC00000000001
388,JGAS00000000189,
389,JGAD00000000272,JGAP00000000001
389,JGAP00000000001,JGAC00000000001
389,JGAS00000000189,
390,JGAD00000000272,JGAP00000000001
390,JGAP00000000001,JGAC00000000001
390,JGAS00000000189,
391,JGAP00000000001,JGAC00000000001
392,JGAP00000000001,JGAC00000000001
393,JGAP00000000001,JGAC00000000001
394,JGAD00000000274,JGAP00000000001
394,JGAP00000000001,JGAC00000000001
394,JGAS00000000191,
395,JGAD00000000275,JGAP00000000001
395,JGAP00000000001,JGAC00000000001
395,JGAS00000000192,
396,JGAD00000000277,JGAP00000000001
396,JGAP00000000001,JGAC00000000001
396,JGAS00000000194,
398,JGAD00000000277,JGAP00000000001
398,JGAP00000000001,JGAC00000000001
398,JGAS00000000194,
399,JGAP00000000001,JGAC00000000001
400,JGAP00000000001,JGAC00000000001
401,JGAP00000000001,JGAC00000000001
402,JGAD00000000242,JGAP00000000001
402,JGAP00000000001,JGAC00000000001
402,JGAS00000000164,
403,JGAP00000000001,JGAC00000000001
404,JGAD00000000284,JGAP00000000001
404,JGAP00000000001,JGAC00000000001
404,JGAS00000000199,
405,JGAP00000000001,JGAC00000000001
406,JGAP00000000001,JGAC00000000001
407,JGAP00000000001,JGAC00000000001
408,JGAD00000000288,JGAP00000000001
408,JGAP00000000001,JGAC00000000001
408,JGAS00000000203,
409,JGAD00000000077,JGAP00000000001
