entry_id,self_accession,parent_accession
524,JGAZ000004427,JGAS000243
524,JGAZ000004428,JGAS000243
524,JGAZ000004429,JGAS000243
524,JGAZ000004430,JGAS000243
524,JGAZ000004431,JGAS000243
524,JGAZ000004432,JGAS000243
524,JGAZ000004433,JGAS000243
524,JGAZ000004434,JGAS000243
524,JGAZ000004435,JGAS000243
524,JGAZ000004436,JGAS000243
524,JGAZ000004437,JGAS000243
524,JGAZ000004438,JGAS000243
524,JGAZ000004439,JGAS000243
524,JGAZ000004440,JGAS000243
524,JGAZ000004441,JGAS000243
524,JGAZ000004442,JGAS000243
524,JGAZ000004443,JGAS000243
534,JGAZ000004444,JGAS000248
534,JGAZ000004445,JGAS000248
534,JGAZ000004446,JGAS000248
534,JGAZ000004447,JGAS000248
534,JGAZ000004448,JGAS000248
534,JGAZ000004449,JGAS000248
534,JGAZ000004450,JGAS000248
534,JGAZ000004451,JGAS000248
534,JGAZ000004452,JGAS000248
534,JGAZ000004453,JGAS000248
534,JGAZ000004454,JGAS000248
534,JGAZ000004455,JGAS000248
534,JGAZ000004456,JGAS000248
534,JGAZ000004457,JGAS000248
534,JGAZ000004458,JGAS000248
534,JGAZ000004459,JGAS000248
534,JGAZ000004460,JGAS000248
534,JGAZ000004461,JGAS000248
536,JGAZ000003598,JGAS000232
536,JGAZ000003599,JGAS000232
536,JGAZ000003600,JGAS000232
536,JGAZ000003601,JGAS000232
536,JGAZ000003602,JGAS000232
536,JGAZ000003603,JGAS000232
536,JGAZ000003604,JGAS000232
536,JGAZ000003605,JGAS000232
536,JGAZ000003606,JGAS000232
536,JGAZ000003607,JGAS000232
536,JGAZ000003608,JGAS000232
536,JGAZ000003609,JGAS000232
536,JGAZ000003610,JGAS000232
536,JGAZ000003611,JGAS000232
536,JGAZ000003612,JGAS000232
536,JGAZ000003613,JGAS000232
536,JGAZ000003614,JGAS000232
536,JGAZ000003615,JGAS000232
536,JGAZ000003616,JGAS000232
536,JGAZ000003617,JGAS000232
536,JGAZ000003618,JGAS000232
536,JGAZ000003619,JGAS000232
536,JGAZ000003620,JGAS000232
536,JGAZ000003621,JGAS000232
536,JGAZ000003622,JGAS000232
536,JGAZ000003623,JGAS000232
536,JGAZ000003624,JGAS000232
536,JGAZ000003625,JGAS000232
536,JGAZ000003626,JGAS000232
536,JGAZ000003627,JGAS000232
538,JGAZ000004462,JGAS000232
538,JGAZ000004463,JGAS000232
538,JGAZ000004464,JGAS000232
538,JGAZ000004465,JGAS000232
538,JGAZ000004466,JGAS000232
538,JGAZ000004467,JGAS000232
538,JGAZ000004468,JGAS000232
538,JGAZ000004469,JGAS000232
538,JGAZ000004470,JGAS000232
538,JGAZ000004471,JGAS000232
538,JGAZ000004472,JGAS000232
538,JGAZ000004473,JGAS000232
538,JGAZ000004474,JGAS000232
538,JGAZ000004475,JGAS000232
538,JGAZ000004476,JGAS000232
538,JGAZ000004477,JGAS000232
538,JGAZ000004478,JGAS000232
538,JGAZ000004479,JGAS000232
538,JGAZ000004480,JGAS000232
538,JGAZ000004481,JGAS000232
538,JGAZ000004482,JGAS000232
538,JGAZ000004483,JGAS000232
538,JGAZ000004484,JGAS000232
538,JGAZ000004485,JGAS000232
538,JGAZ000004486,JGAS000232
538,JGAZ000004487,JGAS000232
